,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.25,0.75,1.75,2.25,129.51,0.0,0.00,-9.5,-189.781,55.24,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,76,4,1.4,00.000000,00.000000,17042705,9,0,11.92,12.37,23.1,27/04/2017 09:52:04,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.25,2.75,100.77,0.0,0.00,-21.3,-59.069,55.24,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,76,4,1.4,00.000000,00.000000,17042705,10,0,11.92,12.37,23.1,27/04/2017 09:52:04,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.75,3.25,117.80,0.0,0.00,-49.5,-24.612,39.38,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,55,2,1.4,00.000000,00.000000,17042705,1,0,11.98,12.37,18.7,27/04/2017 09:52:11,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.25,3.75,129.77,0.0,0.00,51.0,-15.493,39.38,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,55,2,1.4,00.000000,00.000000,17042705,2,0,11.98,12.37,18.7,27/04/2017 09:52:11,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.25,1.75,62.99,0.1,0.00,44.5,-1559.790,72.93,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,125,9,1.7,00.000000,00.000000,17042705,1,0,11.80,12.21,19.2,27/04/2017 09:52:21,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.75,2.25,91.55,0.1,0.00,-11.8,-323.837,72.93,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,125,9,1.7,00.000000,00.000000,17042705,2,0,11.80,12.21,19.2,27/04/2017 09:52:21,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.25,2.75,77.72,0.1,0.00,-22.9,-91.637,72.93,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,125,9,1.7,00.000000,00.000000,17042705,3,0,11.80,12.21,19.2,27/04/2017 09:52:21,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.75,3.25,96.72,0.2,0.00,-49.6,-51.837,72.93,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,125,9,1.7,00.000000,00.000000,17042705,4,0,11.80,12.21,19.2,27/04/2017 09:52:21,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.25,3.75,107.69,0.1,0.00,50.5,-31.078,72.93,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,125,9,1.7,00.000000,00.000000,17042705,5,0,11.80,12.21,19.2,27/04/2017 09:52:21,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.75,4.25,95.23,0.1,0.00,-21.3,-16.489,72.93,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,125,9,1.7,00.000000,00.000000,17042705,6,0,11.80,12.21,19.2,27/04/2017 09:52:21,0.0,0.00,0.0
