,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Gapfiller,Synch,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.50,1.00,2.25,2.75,82.16,0.06,0.00,5.20,-117.660,88.569,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,185,16,2.1,00.000000,00.000000,17062204,3,0,11.77,12.41,26.0,23/06/2017 09:26:44,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.75,3.25,104.30,0.13,0.00,219.97,-67.890,88.569,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,185,16,2.1,00.000000,00.000000,17062204,4,0,11.77,12.41,26.0,23/06/2017 09:26:44,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.25,3.75,113.68,0.19,0.00,-227.07,-39.844,88.569,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,185,16,2.1,00.000000,00.000000,17062204,5,0,11.77,12.41,26.0,23/06/2017 09:26:44,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.75,4.25,78.34,0.11,0.00,30.02,-16.475,88.569,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,185,16,2.1,00.000000,00.000000,17062204,6,0,11.77,12.41,26.0,23/06/2017 09:26:44,0,1,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,4.25,1.50,121.06,0.03,0.00,4.39,1636.466,88.569,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,185,16,2.1,00.000000,00.000000,17062204,7,0,11.77,12.41,26.0,23/06/2017 09:26:44,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.50,2.00,129.44,0.03,0.00,3.99,-1216.452,88.569,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,185,16,2.1,00.000000,00.000000,17062204,8,0,11.77,12.41,26.0,23/06/2017 09:26:44,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.00,2.50,105.13,0.09,0.00,-11.13,-246.989,88.569,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,185,16,2.1,00.000000,00.000000,17062204,9,0,11.77,12.41,26.0,23/06/2017 09:26:44,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.50,3.00,109.03,0.06,0.00,35.72,-102.460,88.569,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,185,16,2.1,00.000000,00.000000,17062204,10,0,11.77,12.41,26.0,23/06/2017 09:26:44,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.00,3.50,96.68,0.00,0.00,-26.06,-31.035,60.506,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,127,8,2.1,00.000000,00.000000,17062204,1,0,11.92,12.41,26.0,23/06/2017 09:26:47,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.50,4.00,85.58,0.05,0.00,-30.57,-15.698,60.506,250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00,127,8,2.1,00.000000,00.000000,17062204,2,0,11.92,12.41,26.0,23/06/2017 09:26:47,0,1,0.0,0.00,0.0
